Symbol,StkCode,CompanyName,Sector ,Market Cap ,Last Price ,PE ,DY ,ROE
AXIATA,6888,AXIATA GROUP BERHAD,Telecommunications Service Providers,34.031b ,3.71,93.22,1.89,2.07
CIMB,1023,CIMB GROUP HOLDINGS BERHAD,Banking,41.859b ,4.18,35.04,1.15,2.12
DIALOG,7277,DIALOG GROUP BERHAD,"Energy Infrastructure, Equipment & Services",16.937b ,3,29.38,1.03,11.96
DIGI,6947,DIGI.COM BERHAD,Telecommunications Service Providers,32.655b ,4.2,28.3,3.71,185.5
GENM,4715,GENTING MALAYSIA BERHAD,"Travel, Leisure & Hospitality",16.448b ,2.77,0,7.22,-14.44
GENTING,3182,GENTING BERHAD,"Travel, Leisure & Hospitality",18.609b ,4.8,0,4.58,-3.09
HAPSENG,3034,HAP SENG CONSOLIDATED BERHAD,Diversified Industrials,19.868b ,7.98,26.49,3.13,10.01
HARTA,5168,HARTALEGA HOLDINGS BERHAD,Health Care Equipment & Services,32.665b ,9.53,11.32,1.42,58.06
HLBANK,5819,HONG LEONG BANK BERHAD,Banking,38.369b ,17.7,15.32,2.03,8.37
HLFG,1082,HONG LEONG FINANCIAL GROUP BERHAD,Banking,19.370b ,16.88,9.79,2.25,8.98
IHH,5225,IHH HEALTHCARE BERHAD,Health Care Providers,47.846b ,5.45,165.65,0.73,1.33
IOICORP,1961,IOI CORPORATION BERHAD,Plantation,25.895b ,4.12,29.7,1.94,9.07
KLK,2445,KUALA LUMPUR KEPONG BERHAD,Plantation,24.323b ,22.5,25.26,2.22,8.81
MAXIS,6012,MAXIS BERHAD,Telecommunications Service Providers,35.439b ,4.53,26.03,3.75,19.33
MAYBANK,1155,MALAYAN BANKING BERHAD,Banking,93.709b ,8.21,14.46,7.8,7.56
MISC,3816,MISC BERHAD,Transportation & Logistics Services,30.041b ,6.73,19.46,4.9,4.62
NESTLE,4707,NESTLE (MALAYSIA) BERHAD,Food & Beverages,31.892b ,136,58.89,1.71,73.09
PBBANK,1295,PUBLIC BANK BERHAD,Banking,80.360b ,4.14,15.84,17.63,11.07
PCHEM,5183,PETRONAS CHEMICALS GROUP BERHAD,Chemicals,64.800b ,8.1,39.78,1.48,5.34
PETDAG,5681,PETRONAS DAGANGAN BHD,Retailers,18.975b ,19.1,68.75,1.99,4.89
PETGAS,6033,PETRONAS GAS BERHAD,"Gas, Water & Multi-utilities",31.264b ,15.8,15.56,8.04,15.91
PMETAL,8869,PRESS METAL ALUMINIUM HOLDINGS BERHAD,Metals,43.612b ,5.4,95.41,0.79,5.6
PPB,4065,PPB GROUP BERHAD,Food & Beverages,26.546b ,18.66,20.16,2.47,5.77
RHBBANK,1066,RHB BANK BERHAD,Banking,21.133b ,5.27,10.4,5.88,7.52
SIME,4197,SIME DARBY BERHAD,Automotive,15.170b ,2.23,12.58,4.48,7.78
SIMEPLT,5285,SIME DARBY PLANTATION BERHAD,Plantation,31.394b ,4.56,28.25,2.54,8.15
SUPERMX,7106,SUPERMAX CORPORATION BERHAD,Health Care Equipment & Services,12.977b ,4.77,3.99,0.8,75.7
TENAGA,5347,TENAGA NASIONAL BHD,Electricity,56.305b ,9.87,15.67,8.11,6.44
TM,4863,TELEKOM MALAYSIA BERHAD,Telecommunications Service Providers,21.284b ,5.64,20.94,2.54,14.26
TOPGLOV,7113,TOP GLOVE CORPORATION BHD,Health Care Equipment & Services,43.905b ,5.35,6.38,7.79,97.55
